name,chembl_id,chembl_max_phase,indication_class,molecular_weight,logP,PSA,H_donors,H_acceptors,rotatable_bonds,SMILES,smiles_source,source,sources,ingredient,earliest_patent_expiry,earliest_exclusivity_date,ema_approved,pmda_approved,nosa_candidate,pubchem_cid,vapor_pressure_mmhg,vapor_pressure_raw,melting_point_c,melting_point_raw,boiling_point_c,boiling_point_raw
PRAZOSIN,CHEMBL2,4.0,,383.41,1.78,106.95,1.0,8.0,4.0,COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,chembl,chembl,chembl,PRAZOSIN HYDROCHLORIDE,,,False,False,False,4893.0,,,277.0,277-280,,
NICOTINE,CHEMBL3,4.0,,162.24,1.85,16.13,0.0,2.0,1.0,CN1CCC[C@H]1c1cccnc1,chembl,chembl,chembl,NICOTINE,,,False,False,True,89594.0,1.0,"1 mmHg at 143.24 °F (EPA, 1998)",-78.88888888888889,"-110 °F (EPA, 1998)",246.72222222222223,"476.1 °F at 745 mmHg (EPA, 1998)"
OFLOXACIN,CHEMBL4,4.0,,361.37,1.54,75.01,1.0,6.0,2.0,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,chembl,chembl,chembl,OFLOXACIN,,,False,False,False,4583.0,,,250.0,250-257 °C (decomposes),,
NALIDIXIC ACID,CHEMBL5,4.0,,232.24,1.42,72.19,1.0,4.0,2.0,CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,chembl,chembl,chembl,NALIDIXIC ACID,,,False,False,False,4421.0,,,228.88888888888889,"444 to 446 °F (NTP, 1992)",,
INDOMETHACIN,CHEMBL6,4.0,,357.79,3.93,68.53,1.0,4.0,4.0,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,chembl,chembl,chembl,INDOMETHACIN,2030-04-23,,False,False,False,3715.0,,,155.0,"311 or 323.6 °F (NTP, 1992)",,
SULBACTAM,CHEMBL403,4.0,,233.24,-0.79,91.75,1.0,4.0,1.0,CC1(C)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,chembl,chembl,chembl,SULBACTAM SODIUM,2033-04-02,2028-05-23,False,False,False,130313.0,,,,,,
TAZOBACTAM,CHEMBL404,4.0,,300.30,-1.52,122.46,1.0,7.0,3.0,C[C@]1(Cn2ccnn2)[C@H](C(=O)O)N2C(=O)C[C@H]2S1(=O)=O,chembl,chembl,chembl,TAZOBACTAM SODIUM,2028-05-15,,False,False,False,123630.0,,,140.0,140-147,,
CIPROFLOXACIN,CHEMBL8,4.0,,331.35,1.58,74.57,2.0,5.0,3.0,O=C(O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,chembl,chembl,chembl,CIPROFLOXACIN,2029-04-21,2026-06-02,False,False,False,2764.0,,,255.0,255-257 °C,,
NORFLOXACIN,CHEMBL9,4.0,,319.34,1.27,74.57,2.0,5.0,3.0,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,chembl,chembl,chembl,NORFLOXACIN,,,False,False,False,4539.0,,,227.0,227-228 °C,,
AMPHETAMINE,CHEMBL405,4.0,,135.21,1.58,26.02,1.0,1.0,2.0,CC(N)Cc1ccccc1,chembl,chembl,chembl,AMPHETAMINE SULFATE,2026-04-09,,False,False,False,3007.0,0.24,0.24 Torr /mm Hg/ at 20 °C,25.0,25 °C,200.0,"392 to 397 °F at 760 mmHg (EPA, 1998)"
ISOSORBIDE DINITRATE,CHEMBL6622,4.0,,236.14,-1.06,123.20,0.0,8.0,4.0,O=[N+]([O-])O[C@H]1CO[C@H]2[C@@H]1OC[C@H]2O[N+](=O)[O-],chembl,chembl,chembl,ISOSORBIDE DINITRATE,,,False,False,False,6883.0,,,70.0,70 °C,,
