Column1;name;chembl_id;chembl_max_phase;composite_score;Score;Score comment;cns_target;primary_target;nasal_cyp_risk;molecular_weight;logP;PSA;H_donors;rotatable_bonds;vapor_pressure_mmhg;melting_point_c;pka_predicted;logD_pH6;logD_pH74;max_dose_mg;dose_feasible_nosa;original_applicant_normalized;earliest_patent_expiry;atc_code;mesh_heading;mechanism_of_action;target_name;physical_state;half_life;dosage_form;synonyms;indication_class
0;CHLOROBUTANOL;CHEMBL1439973;2;99.3;0;Excipient, preservative, poor sedative;;—;;?? 177.46 [C] (DrugBank: 177.45);2.13 [C];20.23;1.0;0.0;0.83;97.00;10.00;2.13;2.13;50.00 [CT];?;—;—;A04AD04|A04AD54;Nausea;?? As a detergent, chlorobutanol disrupts the lipid structur… [DB] (ChEMBL: Unknown);—;solid [DB];Following oral administration, the terminal eli… [DB];—;Anhydrous chlorobutanol|ANHYDROUS CHLOROBUTANOL|Chlorobutanol|CHLOROBUTANOL|Chlorobutanol, anhydrous|CHLOROBUTANOL, ANHYDROUS|Chlorobutanolum|CHLOROBUTANOLUM|Clorobutanol|CLOROBUTANOL|NSC-44794;?? No approved therapeutic indications on its own. [DB]
1;THYMOL;CHEMBL29411;2;97.9;0;Excipient, flavor, pesticide;;—;;?? 150.22 [C] (DrugBank: 150.2176);2.82 [C];20.23;1.0;1.0;0.00;49.60;10.00;2.82;2.82;20.00 [CT];?;—;—;—;Gingivitis|Gonorrhea|Tooth Diseases;—;—;solid [DB];—;—;3-hydroxy-p-cymene|3-HYDROXY-P-CYMENE|Apiguard|APIGUARD|Eftab|EFTAB|FEMA NO. 3066|Gppe mthwsh tab|GPPE MTHWSH TAB|Listerine|LISTERINE|NSC-11215|NSC-47821|NSC-49142|P-cymen-3-ol|P-CYMEN-3-OL|Sotol|SOTOL|Tellodont|TELLODONT|Tellora|TELLORA|Thyme camphor|THYME CAMPHOR|Thymol|THYMOL|Thymolum|THYMOLUM|Valda|VALDA;—
2;MENTHOL;CHEMBL256087;4;97.7;0;Excipient, flavor;;—;;?? 156.27 [C] (DrugBank: 156.269);2.44 [C];20.23;1.0;1.0;1.00;37.78;10.00;2.44;2.44;26.00 [CT];?;Hisamitsu;2027-08-01;—;Bursitis|Tendinopathy|Muscle Cramp|Pain|Hypertension|Arthritis|Myalgia|Diabetic Neuropathies|Tobacco Use Disorder|Common Cold|Deglutition Disorders|Cough|Stomach Neoplasms|Pharyngitis|Wounds and Injuries|Sunburn|Burns|Hemorrhoids|Sprains and Strains|Bronchitis|Herpes Labialis|Oral Ulcer|Pruritus|Nasal Obstruction|Headache|Arthralgia|Back Pain|Eczema|Contusions|Insect Bites and Stings|Asthma|Osteoarthritis;?? Transient receptor potential cation channel subfamily M m… [C];Transient receptor potential cation channel subfamily M member 8;—;—;topical;Aqua-cool|AQUA-COOL|Aquasoothe|AQUASOOTHE|Arjun|ARJUN|Catarrh|CATARRH|Dermacool|DERMACOOL|Dl-menthol|DL-MENTHOL|FEMA NO. 2665|Halls|HALLS|Karvol|KARVOL|Lockets|LOCKETS|Meggezone|MEGGEZONE|Meggezones|MEGGEZONES|Menthol|MENTHOL|Menthol, cis-1,3,trans-1,4-|MENTHOL, CIS-1,3,TRANS-1,4-|Menthol component of salonpas|MENTHOL COMPONENT OF SALONPAS|Menthol, dl-|MENTHOL, DL-|Menthol racemate|MENTHOL RACEMATE|Muirs|MUIRS|NSC-2603|Racementhol|RACEMENTHOL|Racementol|RACEMENTOL|Rac-menthol|RAC-MENTHOL|Tixylix decongestant inh|TIXYLIX DECONGESTANT INH|Vocalzone|VOCALZONE;—
3;AMPHETAMINE;CHEMBL405;4;95.1;1;Generic, controlled use, but in Nosa maybe diff for narcolepsia bit not ADHD. TBD if lisdexamfetamine works too.;??;Sodium-dependent serotonin transporter (SERT) (…;??;?? 135.21 [C] (DrugBank: 135.2062);1.58 [C];26.02;1.0;2.0;0.24;25.00;9.50;-1.92;-0.52;80.00 [CT];?;Lannett;2026-04-09;N06BA01;Cocaine-Related Disorders|Attention Deficit Disorder with Hyperactivity|Cognition;?? It is important to consider that amphetamine has a very s… [DB] (ChEMBL: Dopamine transporter releasing agent);Sodium-dependent dopamine transporter;liquid [DB];The half-life of amphetamine highly depends on … [DB];oral;Adzenys er|ADZENYS ER|Adzenys xr-odt|ADZENYS XR-ODT|Amfetamin|AMFETAMIN|Amfetamine|AMFETAMINE|Amphetamine|AMPHETAMINE|Amphetamine, dl-|AMPHETAMINE, DL-|Amphetamine resin complex|AMPHETAMINE RESIN COMPLEX|Anfetamina|ANFETAMINA|Dyanavel|DYANAVEL|Dyanavel xr|DYANAVEL XR|Mydayis (mixed salts of a single entity)|MYDAYIS (MIXED SALTS OF A SINGLE ENTITY)|Norephedrane|NOREPHEDRANE|NSC-27159;?? Amphetamine is indicated for the treatment of attention-d… [DB]
4;LEVOMENTHOL;CHEMBL470670;3;94.7;0;Excipient, flavor;??;Kappa-type opioid receptor (K-OR-1) (KOR-1);;?? 156.27 [C] (DrugBank: 156.2652);2.44 [C];20.23;1.0;1.0;1.00;37.78;10.00;2.44;2.44;—;?;—;—;—;Pulmonary Disease, Chronic Obstructive;?? Menthol primarily activates the cold-sensitive TRPM8 rece… [DB];—;solid [DB];—;—;Levomenthol|LEVOMENTHOL|Levomentol|LEVOMENTOL|L-menthol|L-MENTHOL;?? Used to treat occasional minor irritation, pain, sore mou… [DB]
5;MIRTAZAPINE;CHEMBL654;4;93.6;0;Atyp TCA, generic OSD. No diff use.;??;—;;?? 265.36 [C] (DrugBank: 265.3529);2.48 [C];19.37;0.0;0.0;—;114.00;4.50;2.47;2.48;30.00 [CT];?;Organon;—;N06AX11;Substance-Related Disorders|Depressive Disorder|Child Development Disorders, Pervasive|Cocaine-Related Disorders|Heroin Dependence|Fibromyalgia|Sleep Apnea, Obstructive|Anxiety|Dementia|Nausea|Weight Loss|Cachexia|Anorexia|Depressive Disorder, Major|Amphetamine-Related Disorders|Postoperative Nausea and Vomiting|Sleep Initiation and Maintenance Disorders|Schizophrenia|Alcoholism|Anorexia Nervosa|Stomach Diseases|Paraganglioma;"?? **Summary**

The mechanism of action of mirtazapine is … [DB] (ChEMBL: Serotonin 2a (5-HT2a) receptor antagonist)";5-hydroxytryptamine receptor 2A;solid [DB];20-40 hours [FDA label, A177826] [DB];oral;6-azamianserin|6-AZAMIANSERIN|Avanza|AVANZA|Mirataz|MIRATAZ|Mirtazapin|MIRTAZAPIN|Mirtazapina|MIRTAZAPINA|Mirtazapine|MIRTAZAPINE|Mirtazapine anhydrous|MIRTAZAPINE ANHYDROUS|Norset|NORSET|ORG 3770|ORG-3770|Promyrtil|PROMYRTIL|Remeron|REMERON|Remeron soltab|REMERON SOLTAB|Rexer|REXER|Zispin|ZISPIN;?? This drug is indicated for the treatment of major depress… [DB]
6;LEFLUNOMIDE;CHEMBL960;4;93.1;0;DMARD, immunosuppressive.;;Aryl hydrocarbon receptor (Ah receptor) (AhR) (…;??;?? 270.21 [C] (DrugBank: 270.2073);3.25 [C];55.13;1.0;2.0;0.00;165.00;4.50;3.24;3.25;100.00 [CT];?;Sanofi;—;L04AK01;Breast Neoplasms|Arthritis, Rheumatoid|Myasthenia Gravis|Multiple Myeloma|Melanoma|HIV Infections|Lupus Nephritis|Pemphigoid, Bullous|IgA Vasculitis|Uveitis|Smoldering Multiple Myeloma|Polymyalgia Rheumatica|Arthritis, Psoriatic|Central Nervous System Neoplasms|Prostatic Neoplasms, Castration-Resistant|Severe Acute Respiratory Syndrome|Neoplasms|Sjogren's Syndrome|Lymphoproliferative Disorders|Lupus Erythematosus, Systemic|Bronchiolitis Obliterans Syndrome|Breast Diseases|Hemosiderosis;?? Leflunomide is a prodrug that is rapidly and almost compl… [DB] (ChEMBL: Dihydroorotate dehydrogenase inhibitor);Dihydroorotate dehydrogenase (quinone), mitochondrial;solid [DB];2 weeks [DB];oral;Arava|ARAVA|HWA-486|L04AA13|Leflunomida|LEFLUNOMIDA|Leflunomide|LEFLUNOMIDE|Leflunomide medac|LEFLUNOMIDE MEDAC|Leflunomide ratiopharm|LEFLUNOMIDE RATIOPHARM|Leflunomide teva|LEFLUNOMIDE TEVA|Leflunomide winthrop|LEFLUNOMIDE WINTHROP|Leflunomide zentiva (previously leflunomide winthrop)|LEFLUNOMIDE ZENTIVA (PREVIOUSLY LEFLUNOMIDE WINTHROP)|NSC-677411|NSC-759864|Repso|REPSO|SU-101|SU101|SULOL;?? For the management of the signs and symptoms of active rh… [DB]
7;PROFLAVINE;CHEMBL55400;2;92.1;0;Bacteriostatic. No drug-;;Prothrombin (EC 3.4.21.5) (Coagulation factor I…;;?? 209.25 [C] (DrugBank: 209.2465);2.55 [C];64.93;2.0;0.0;0.00;284.00;9.50;-0.95;0.45;10.00 [CT];?;—;—;—;Carcinoma, Squamous Cell|Barrett Esophagus|Genital Neoplasms, Female|Uterine Neoplasms|Mouth Neoplasms;?? Proflavine acts by interchelating DNA (intercalation), th… [DB] (ChEMBL: DNA disrupting agent);DNA;solid [DB];—;—;Proflavina|PROFLAVINA|Proflavine|PROFLAVINE;?? Topical antiseptic used mainly in wound dressings. [DB]
8;CHLOROXYLENOL;CHEMBL398440;2;92.0;0;Antiseptic, no drug use;;—;;?? 156.61 [C] (DrugBank: 156.61);2.66 [C];20.23;1.0;0.0;0.00;112.00;10.00;2.66;2.66;—;?;—;—;D08AE05;Inflammation;?? As a phenol antiseptic, it is believed that the hydroxyl … [DB] (ChEMBL: Unknown);—;liquid [DB];One study estimated the mean terminal half-life… [DB];—;Chloroxylenol|CHLOROXYLENOL|Cloroxilenol|CLOROXILENOL|NSC-4971|Parachlorometoxylenol|PARACHLOROMETOXYLENOL|P-chloro-m-xylenol|P-CHLORO-M-XYLENOL;?? The predominant medical applications for which chloroxyle… [DB]
9;ETOMIDATE;CHEMBL681;4;91.6;0;Anaesthetic, induction.  No diff;??;Gamma-aminobutyric acid receptor subunit alpha-…;;?? 244.29 [C] (DrugBank: 244.289);2.67 [C];44.12;0.0;4.0;—;142.00;4.50;2.66;2.67;1.00 [CT];?;Hospira;—;N01AX07;Hypertension|Stroke|Respiratory Insufficiency;"?? Etomidate binds at a distinct binding site associated wit… [DB] (ChEMBL: GABA-A receptor; anion channel positive modulator)";"GABA-A receptor; anion channel";solid [DB];75 minutes. [DB];parenteral;Amidate|AMIDATE|Etomidate|ETOMIDATE|Etomidato|ETOMIDATO|Hypnomidate|HYPNOMIDATE|NSC-759160;?? Used in the induction of general anesthesia. [DB]
